	Document_No	Dominant_Topic	Topic_Perc_Contrib	Keywords	Text
214	214	1.0	0.1256	climate, rent, important, cap, building, change, build, issue, neutral, mixed	Can not fully say, but rent could become an issue
215	215	7.0	0.1212	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	don't want to increase density; people are already on top of one another
216	216	7.0	0.1066	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	rent, and population
217	217	0.0	0.1342	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	I was not given an opportunity to opt out.  Would I accept? Would I have a choice?  I'd like more people because it means more amenities; but I do fear the rent increase involved with gentrification.
218	218	1.0	0.1129	climate, rent, important, cap, building, change, build, issue, neutral, mixed	Being low income please no increase no projects rents caps are good. At lease until the covid-19 has passed
219	219	4.0	0.156	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	Because I am low-income, I generally always chose the proposal with the highest percentage of housing units set aside for section 8 or low-income residents.  Secondly, I chose the proposal that had the greatest variety of businesses incorporated within the developments. And lastly, I chose the proposal that favored the greatest residents' involvement in planning and decision making. 
220	220	7.0	0.1285	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	Rent control was important and moderate pop density increase
221	221	0.0	0.0909	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	I don't know what to say.
222	222	8.0	0.119	area, high, environment, cost, pay, life, problem, space, quality, crime	because some people rents are already high and too many new people will cause too many problems 
223	223	4.0	0.1212	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	I worry about the density which is why I chose the proposals I chose
224	224	3.0	0.1046	make, thing, development, idea, great, time, favour, densification, infrastructure, year	I guess I'm pretty much for development 
225	225	0.0	0.1235	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	Make a good choice
226	226	5.0	0.1235	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	I do not wish to support for-profit investors. 
227	227	1.0	0.1295	climate, rent, important, cap, building, change, build, issue, neutral, mixed	In general I think it is important to diversify which I believe is helped by rent control and low-income housing.  I also would prefer climate neutral and non-profit investors.
228	228	7.0	0.1377	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	Some non-profit some reduces /increases density
229	229	4.0	0.1046	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	I always see the population benefits on every project
230	230	3.0	0.1087	make, thing, development, idea, great, time, favour, densification, infrastructure, year	Because I was interested 
231	231	8.0	0.1189	area, high, environment, cost, pay, life, problem, space, quality, crime	I think rent control (10%max) and environment goals have to be in a proposition
232	232	8.0	0.1375	area, high, environment, cost, pay, life, problem, space, quality, crime	population increases were an automatic deal breaker when offered.  I like mix-use and combo townhomes, and apartment buildings with 30-100 units.  hi rises are ok if their approach and exit do not constrict other traffic.
233	233	6.0	0.1235	community, favor, involvement, public, generally, increase, support, vote, low_income, offer	I want to vote in favor of proposals that will benefit everyone.
234	234	10.0	0.2131	people, live, city, lot, family, place, price, house, bad, property	"There are numerous tradeoffs and one that don't benefit the community. Having apartments and homes at certain price levels means that poorer residence SHOULD work to obtain housing for themselves in such a neighborhood.  It is not discrimination that just because someone is able to afford something and does acquire it, that if another can't do the same that somehow the purchasing person has something against or keeps something away from another.  People should earn through work to obtain a piece of property.  And there's nothing but apathy and other social ills that make ""bad"" neighborhoods what they become.  I don't want to pay high rent or mortgages and then have what I'm moving away from still be with me"
235	235	7.0	0.1424	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	Against increasing population density by 100%.
236	236	0.0	0.119	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	I have decided to do so because it is the safest for my neighborhood and the people who live there.
237	237	3.0	0.1235	make, thing, development, idea, great, time, favour, densification, infrastructure, year	The living conditions and rent
238	238	0.0	0.0909	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	because I like that.
239	239	4.0	0.1046	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	I look at people opinions and do research
240	240	10.0	0.1235	people, live, city, lot, family, place, price, house, bad, property	In order to improve the city. 
241	241	4.0	0.126	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	the rate of population increase and the issue of environmental protection are the two factors that determined my decision
242	242	7.0	0.1324	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	favor rent control and controlled increase in population density
243	243	0.0	0.1066	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	Yes good idea to have
244	244	10.0	0.115	people, live, city, lot, family, place, price, house, bad, property	The survey was really good in getting to know some people do care
245	245	6.0	0.1087	community, favor, involvement, public, generally, increase, support, vote, low_income, offer	To suit everyone
246	246	6.0	0.115	community, favor, involvement, public, generally, increase, support, vote, low_income, offer	Got work to do right now can't answer long questions
247	247	1.0	0.1087	climate, rent, important, cap, building, change, build, issue, neutral, mixed	I believe extremely in proposal 1
248	248	3.0	0.1356	make, thing, development, idea, great, time, favour, densification, infrastructure, year	because most didn't make any sense and others didn't make any difference
249	249	4.0	0.117	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	I think my main reasons were having residents being able to have a part or say in the decisions
250	250	7.0	0.1212	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	it's already too crowded, don't need higher population density
